iter	Passed	Remaining
788	5735	1533
789	5740	1525
790	5750	1519
791	5755	1511
792	5765	1505
793	5771	1497
794	5783	1491
795	5786	1483
796	5794	1475
797	5799	1468
798	5802	1459
799	5812	1453
800	5816	1444
801	5820	1437
802	5829	1430
803	5833	1422
804	5837	1414
805	5844	1406
806	5848	1398
807	5859	1392
808	5865	1384
809	5874	1377
810	5878	1369
811	5887	1363
812	5891	1355
813	5895	1347
814	5904	1340
815	5908	1332
816	5913	1324
817	5917	1316
818	5922	1308
819	5928	1301
820	5935	1294
821	5941	1286
822	5947	1279
823	5954	1271
824	5958	1263
825	5964	1256
826	5969	1248
827	5978	1242
828	5983	1234
829	5987	1226
830	5992	1218
831	5997	1211
832	6001	1203
833	6006	1195
834	6012	1188
835	6016	1180
836	6025	1173
837	6032	1166
838	6036	1158
839	6042	1150
840	6048	1143
841	6055	1136
842	6061	1128
843	6066	1121
844	6073	1114
845	6077	1106
846	6084	1099
847	6091	1091
848	6097	1084
849	6105	1077
850	6111	1070
851	6120	1063
852	6125	1055
853	6133	1048
854	6139	1041
855	6147	1034
856	6153	1026
857	6157	1019
858	6164	1011
859	6170	1004
860	6174	996
861	6180	989
862	6185	981
863	6191	974
864	6197	967
865	6200	959
866	6206	952
867	6214	945
868	6218	937
869	6224	930
870	6229	922
871	6235	915
872	6240	907
873	6246	900
874	6251	893
875	6257	885
876	6263	878
877	6272	871
878	6279	864
879	6286	857
880	6294	850
881	6301	842
882	6312	836
883	6317	829
884	6323	821
885	6327	814
886	6336	807
887	6342	799
888	6347	792
889	6352	785
890	6357	777
891	6362	770
892	6368	763
893	6373	755
894	6378	748
895	6383	740
896	6388	733
897	6392	726
898	6398	718
899	6403	711
900	6409	704
901	6419	697
902	6423	690
903	6430	682
904	6435	675
905	6441	668
906	6447	661
907	6452	653
908	6457	646
909	6464	639
910	6469	631
911	6476	624
912	6482	617
913	6488	610
914	6496	603
915	6502	596
916	6507	589
917	6514	581
918	6520	574
919	6529	567
920	6535	560
921	6541	553
922	6546	546
923	6552	538
924	6557	531
925	6561	524
926	6566	517
927	6571	509
928	6575	502
929	6580	495
930	6585	488
931	6591	480
932	6596	473
933	6604	466
934	6608	459
935	6613	452
936	6617	444
937	6624	437
938	6630	430
939	6636	423
940	6643	416
941	6649	409
942	6654	402
943	6660	395
944	6667	388
945	6673	380
946	6683	374
947	6694	367
948	6702	360
949	6716	353
950	6720	346
951	6726	339
952	6731	331
953	6736	324
954	6742	317
955	6747	310
956	6752	303
957	6758	296
958	6762	289
959	6769	282
960	6774	274
961	6777	267
962	6781	260
963	6789	253
964	6796	246
965	6804	239
966	6811	232
967	6817	225
968	6823	218
969	6828	211
970	6836	204
971	6840	197
972	6845	189
973	6853	182
974	6858	175
975	6868	168
976	6874	161
977	6880	154
978	6889	147
979	6893	140
980	6900	133
981	6903	126
982	6912	119
983	6917	112
984	6922	105
985	6927	98
986	6933	91
987	6938	84
988	6943	77
989	6948	70
990	6953	63
991	6957	56
992	6963	49
993	6966	42
994	6973	35
995	6979	28
996	6983	21
997	6988	14
998	6992	6
999	6997	0
